"Dataset","Number of the triple","Time"
"result","256","3.037574529647827"
"result","257","3.037583112716675"
"result","258","3.0375940799713135"
"result","259","3.037604808807373"
"result","260","3.0376415252685547"
"result","261","3.0376477241516113"
"result","262","3.037660837173462"
"result","263","3.0376710891723633"
"result","264","3.0377037525177"
"result","265","3.037709951400757"
"result","266","3.0377197265625"
"result","267","3.0377302169799805"
"result","268","3.0377631187438965"
"result","269","3.0377695560455322"
"result","270","3.0377817153930664"
"result","271","3.037792444229126"
"result","272","3.037825584411621"
"result","273","3.037832260131836"
"result","274","3.037841558456421"
"result","275","3.0378525257110596"
"result","276","3.037890672683716"
"result","277","3.037899971008301"
"result","278","3.0379104614257812"
"result","279","3.0379209518432617"
"result","280","3.0379550457000732"
"result","281","3.038010358810425"
"result","282","3.038024425506592"
"result","283","3.0380353927612305"
"result","284","3.0380752086639404"
"result","285","3.038081645965576"
"result","286","3.0380918979644775"
"result","287","3.0381031036376953"
"result","288","3.038137435913086"
"result","289","3.0381436347961426"
"result","290","3.038154125213623"
"result","291","3.0381648540496826"
"result","292","3.038198471069336"
"result","293","3.0382044315338135"
"result","294","3.0382142066955566"
"result","295","3.038224935531616"
"result","296","3.038257598876953"
"result","297","3.0382635593414307"
"result","298","3.0382797718048096"
"result","299","3.0382909774780273"
"result","300","3.0383245944976807"
"result","301","3.0383307933807373"
"result","302","3.0383408069610596"
"result","303","3.03835129737854"
"result","304","3.038383722305298"
"result","305","3.0383896827697754"
"result","306","3.0383992195129395"
"result","307","3.0384349822998047"
"result","308","3.038472890853882"
"result","309","3.0384793281555176"
"result","310","3.038489580154419"
"result","311","3.0384998321533203"
"result","312","3.0385324954986572"
"result","313","3.0385382175445557"
"result","314","3.0385475158691406"
"result","315","3.038557767868042"
"result","316","3.0385899543762207"
"result","317","3.0385963916778564"
"result","318","3.038607358932495"
"result","319","3.0386178493499756"
"result","320","3.0386502742767334"
"result","321","3.038655996322632"
"result","322","3.038666009902954"
"result","323","3.0386762619018555"
"result","324","3.0387074947357178"
"result","325","3.0387134552001953"
"result","326","3.0387227535247803"
"result","327","3.0387330055236816"
"result","328","3.0387649536132812"
"result","329","3.038771152496338"
"result","330","3.038780450820923"
"result","331","3.038790464401245"
"result","332","3.0388224124908447"
"result","333","3.0388283729553223"
"result","334","3.0388379096984863"
"result","335","3.038851261138916"
"result","336","3.038883686065674"
"result","337","3.0388896465301514"
"result","338","3.0389013290405273"
